Map,Feature,F1 Score,Precision,Recall,IoU Score,USGS F1 Score,USGS Precision,USGS Recall,Mean matched distance Points,Matched Points,Unmatched Points,Missing Points
OR_Carlton,Qa,0.047785790936312626,0.02838575344424068,0.15095465813481676,0.024477739540289197,,,,,,,
OR_Carlton,Qaf,0.002646990473106226,0.0013549115247110711,0.05707927492547476,0.0013252491975533208,,,,,,,
OR_Carlton,Qls,0.0,0.0,0.0,0.0,,,,,,,
OR_Carlton,Qff,0.3983179449491914,0.5462971813319799,0.3134197922434509,0.24868727453936296,,,,,,,
OR_Carlton,Qtd,0.0,0.0,0.0,0.0,,,,,,,
OR_Carlton,Tk,0.10498755387450097,0.05543049530791399,0.9908188967938154,0.05540203922626272,,,,,,,
OR_Carlton,Tes,0.153635925953935,0.0959229205843132,0.38569064184969404,0.08320998448440452,,,,,,,
OR_Carlton,Ty,0.558449571717462,0.502045605806367,0.6291314106354315,0.38739509958232854,,,,,,,
OR_Carlton,Tidb,0.11054966995175712,0.06528588114634956,0.3604684510659399,0.058508905046969116,,,,,,,
